CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
AK-500,Anchorage CoC,1760,185,161,377,419,315,223,80,570,1171,14,3,2,1638,122,480,156,28,755,83,258,1209,216,0,1425,335,2023
AK-501,Alaska Balance of State CoC,854,176,66,124,190,144,123,31,421,429,2,2,0,717,137,316,25,10,396,16,91,555,166,0,721,133,2023
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",847,67,42,127,182,180,187,62,256,579,11,1,0,822,25,295,518,1,14,2,17,363,93,9,465,382,2023
AL-501,Mobile City & County/Baldwin County CoC,670,110,19,78,156,120,140,47,254,412,2,2,0,655,15,281,351,2,11,6,19,192,121,0,313,357,2023
AL-502,Florence/Northwest Alabama CoC,195,63,9,42,36,23,16,6,117,78,0,0,0,186,9,130,48,0,2,0,15,63,100,0,163,32,2023
AL-503,Huntsville/North Alabama CoC,646,154,39,107,111,103,98,34,236,402,3,4,1,618,28,340,267,6,7,3,23,376,21,0,397,249,2023
AL-504,Montgomery City & County CoC,345,58,15,59,67,73,50,23,133,211,0,0,1,334,11,83,249,2,2,0,9,155,63,0,218,127,2023
AL-505,Gadsden/Northeast Alabama CoC,236,15,22,30,54,61,43,11,88,148,0,0,0,233,3,111,124,1,0,0,0,45,4,0,49,187,2023
AL-506,Tuscaloosa City & County CoC,82,16,7,18,18,10,8,5,32,50,0,0,0,82,0,18,60,0,0,0,4,62,3,0,65,17,2023
AL-507,Alabama Balance of State CoC,283,77,25,53,60,38,13,17,142,130,7,0,4,258,25,91,170,0,1,0,21,140,38,0,178,105,2023
AR-500,Little Rock/Central Arkansas CoC,773,74,62,159,142,163,126,47,304,464,3,2,0,744,29,394,344,2,2,3,28,227,82,0,309,464,2023
AR-501,Fayetteville/Northwest Arkansas CoC,436,63,28,78,100,100,52,15,171,257,6,1,1,401,35,312,69,1,18,22,14,200,45,0,245,191,2023
AR-503,Arkansas  Balance of State  CoC,871,91,66,161,196,190,133,34,346,518,3,1,3,832,39,619,233,2,3,5,9,327,62,0,389,482,2023
AR-505,Southeast Arkansas CoC,86,26,9,19,19,13,0,0,33,53,0,0,0,86,0,44,38,1,3,0,0,62,15,0,77,9,2023
AR-508,Fort Smith CoC,443,50,12,66,93,91,88,43,152,288,1,2,0,411,32,327,49,1,24,0,42,171,96,0,267,176,2023
AZ-500,Arizona Balance of State CoC,2386,295,117,317,447,473,457,280,866,1506,3,6,5,1798,588,1662,142,14,266,16,286,919,249,12,1180,1206,2023
AZ-501,Tucson/Pima County CoC,2209,157,157,390,556,479,329,141,627,1492,15,17,58,1445,764,1468,255,11,197,19,259,517,177,14,708,1501,2023
AZ-502,"Phoenix, Mesa/Maricopa County CoC",9642,1133,722,2069,2069,1559,1448,642,3400,6188,34,14,6,7068,2574,5881,2700,76,512,71,402,3668,1028,38,4734,4908,2023
